2026/03/26 11:10:38:711	Station:LOAD,Listen IP:127.0.0.1,Port:6007
2026/03/26 11:13:32:920	Station:LOAD,Listen IP:127.0.0.1,Port:6001
2026/03/26 11:13:33:046	Station:AOI1,Listen IP:127.0.0.1,Port:6002
2026/03/26 11:13:33:150	Station:AOI2,Listen IP:127.0.0.1,Port:6003
2026/03/26 11:13:33:261	Station:AOI3,Listen IP:127.0.0.1,Port:6004
2026/03/26 11:13:33:370	Station:DTC,Listen IP:127.0.0.1,Port:6005
2026/03/26 11:14:19:557	Station:LOAD,RemoteConnect IP:127.0.0.1,Port:6001
2026/03/26 11:16:38:669	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 11:29:41:030	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 11:30:26:578	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 11:30:41:553	Station:AOI3,RemoteConnect IP:127.0.0.1,Port:6004
2026/03/26 11:31:17:363	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 11:32:27:294	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 11:33:22:559	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 11:38:13:270	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 11:50:50:888	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 11:53:08:018	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1,2,3,4,P4:A1,A2,A3,A4,P5:false,false,false,false,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:1;TM7000,TM7000,TM7000,TM7000 NG,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 11:53:08:020	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 11:58:13:312	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 11:58:33:579	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 11:59:09:638	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 11:59:09:638	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:false;false;false;false,P6:,P7:1;Inspection Error,P8:,P9:
2026/03/26 12:01:38:889	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 12:01:49:462	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 12:02:01:898	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 12:02:01:908	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:false;false;false;false,P6:,P7:1;Inspection Error,P8:,P9:
2026/03/26 13:57:25:217	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 14:07:02:450	Station:LOAD,Listen IP:127.0.0.1,Port:6001
2026/03/26 14:07:02:562	Station:AOI1,Listen IP:127.0.0.1,Port:6002
2026/03/26 14:07:02:673	Station:AOI2,Listen IP:127.0.0.1,Port:6003
2026/03/26 14:07:02:783	Station:AOI3,Listen IP:127.0.0.1,Port:6004
2026/03/26 14:07:02:893	Station:DTC,Listen IP:127.0.0.1,Port:6005
2026/03/26 14:07:29:187	Station:LOAD,RemoteConnect IP:127.0.0.1,Port:6001
2026/03/26 14:08:12:053	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 14:29:40:050	Station:AOI3,RemoteConnect IP:127.0.0.1,Port:6004
2026/03/26 14:29:41:627	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 14:29:54:642	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:30:21:957	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 14:32:01:226	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:32:01:230	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:false;false;false;false,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:1;TM7000-TM7000-TM7000-TM7000 NG,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
